"Id","DateCreated","DateUpdated","Code","Description","CategoryId","DefaultPrice","BarCode","AgeRestricted","DateDeleted","ImagePath","GroupId","IsExternal","MeasurementUnit","TaxInformation_Cest","TaxInformation_ExTipi","TaxInformation_Ncm","TaxInformation_Origin","Discriminator","ConversionUnitName","ConversionUnitRatio","CreatorGroupId","DateStandardized","ShippingConversionUnitName","ShippingConversionUnitRatio","ParentProductId"
138,2025-10-10 12:29:33.435,2025-11-07 01:25:30.413,"7894900660302",SUCO DEL VALE NECTAR MARACUJA LATA 290ML,17,4.59,"7894900660302",false,,images/product/138_VAKZTUHSYNCH686N4PZRKBK78MK922MU.png,,false,0,,,"00000000",,Product,2,6,,2025-10-10 12:29:33.435,0,1,
170,2025-10-10 12:29:33.435,2025-12-03 16:13:19.232,_170_611269101713,ENERGETICO RED BULL ZERO LT 250ML,3,6.89,"611269101713",false,2026-04-10 18:40:56.932,images/product/170_9LT5GXT8NBM2C4Q6GVFMRB9YE2WFQ6VM.png,,false,0,,,"22029900",0,Product,3,4,,2025-10-10 12:29:33.435,0,1,
159,2025-10-10 12:29:33.435,2025-11-07 01:26:00.780,"7894900660265",SUCO DEL VALE NECTAR GOIABA S/ ACUCAR LATA 290ML	,17,4.59,"7894900660265",false,,images/product/159_YFVDQ43N4EB9ZTT9YYTYXRZWQCDJJU45.png,,false,0,,,"00000000",,Product,2,6,,2025-10-10 12:29:33.435,0,1,
180,2025-10-10 12:29:33.435,2025-11-07 01:26:19.686,"7894900660333",SUCO DEL VALE NECTAR UVA LATA 290ML,17,4.59,"7894900660333",false,,images/product/180_JU926CA6C6GAFX6QRJ7G33Z45V4XUFAY.png,,false,0,,,"00000000",,Product,2,6,,2025-10-10 12:29:33.435,0,1,
632,2025-11-21 19:49:31.417,2025-11-21 19:49:41.023,"7894900320015",REFRIGERANTE CITRUS SCHWEPPES LATA 350ML,10,3.79,"7894900320015",false,,images/product/632_ELKH76ZS33GH7FVCHJXFQEX52XCLV53L.png,,false,0,,,,,Product,0,1,,2025-11-21 19:49:31.417,0,1,
126,2025-10-10 12:29:33.435,2025-12-02 18:23:10.440,_126_7892840822347,DORITOS ORIGINAL QUEIJO NACHO 75G,4,8.59,"7892840822347",false,2025-12-05 12:35:33.433,images/product/126_HT3Q3D8RJ5U4HV4ES7Q9PG2F3RVP5SGF.png,,false,0,,,"00000000",,Product,0,1,,2025-10-10 12:29:33.435,0,1,
124,2025-10-10 12:29:33.435,2025-12-02 18:22:28.303,"7896002311687",BISNAGA NA CHAPA,,9.13,"7896002311687",false,,images/product/124_PCD9XYWWC69S5SN9SGMS8DVM2KWELZ47.png,,false,0,,,,,Product,0,1,,2025-10-10 12:29:33.435,0,1,
663,2025-11-28 14:35:47.087,2025-11-28 14:36:47.481,"7891000338285",CHOC NESCAU BALL 75G,9,3,"7891000338285",false,,images/product/663_HT6S3XBA8S73YZ8VAMJUTHCFRLMCHHGH.png,,false,0,,,,,Product,0,1,,2025-11-28 14:35:47.087,0,1,
628,2025-11-21 19:41:34.932,2025-11-21 19:42:07.455,"7898080643292",BEB LACT ITALAC 250ML C/WHEY PISTACHE TP,8,6.09,"7898080643292",false,,images/product/628_JV645WU3UJ2JYSYDUSD6WZS9FZ4794S5.png,,false,0,,,,,Product,0,1,,2025-11-21 19:41:34.932,0,1,
629,2025-11-21 19:44:13.369,2025-11-21 19:44:21.321,"7891098040893",CHÁ PRETO ICE TEA PÊSSEGO LEÃO GARRAFA 450ML,11,4.59,"7891098040893",false,,images/product/629_V9JUUXH4XSLES8Z5U2VKYLVQ7C9GD5XE.png,,false,0,,,,,Product,0,1,,2025-11-21 19:44:13.369,0,1,
630,2025-11-21 19:44:43.114,2025-11-21 19:45:12.660,"7891098040848",CHÁ PRETO ICE TEA LIMÃO LEÃO GARRAFA 450ML,11,4.59,"7891098040848",false,,images/product/630_WA9GQDX58F6C93FY2FESGXJ7AN3BK6PQ.png,,false,0,,,,,Product,0,1,,2025-11-21 19:44:43.114,0,1,
631,2025-11-21 19:46:22.590,2025-11-21 19:46:28.095,"7891098000170",CHA LEAO HORTELA 10 SAQ 10g,11,3.49,"7891098000170",false,,images/product/631_695W7V7HA3YJSALZGV5L57HVJ54U4DV5.png,,false,0,,,,,Product,0,1,,2025-11-21 19:46:22.590,0,1,
376,2025-10-17 17:14:05.665,2025-12-03 16:20:57.257,"7898024397915",NUTELLA B-READY 22G,9,4.99,"7898024397915",false,,images/product/376_RXEHSGQWUSXK72TALTTAMMRFX4WQ65B6.png,,false,0,,,,,Product,0,1,,2025-10-17 17:14:05.665,0,1,
